"23105","01,03,05,26,30,32","16"
"23104","10,19,23,25,30,31","12"
"23103","05,06,13,24,25,29","15"
"23102","01,09,10,13,21,28","10"
"23101","01,05,09,15,18,26","4"
"23100","05,06,12,15,23,25","4"
"23099","09,11,14,19,27,33","5"
"23098","02,10,11,14,21,27","11"
"23097","01,09,14,19,29,30","15"
"23096","08,11,18,26,31,32","15"
"23095","03,08,16,17,22,26","11"
"23094","06,10,12,14,30,31","12"
"23093","10,21,24,25,27,32","7"
"23092","03,12,24,25,32,33","13"
"23091","16,20,22,26,30,32","16"
"23090","01,02,09,26,30,31","7"
"23089","08,13,15,27,28,31","11"
"23088","01,14,18,26,31,33","5"
"23087","02,09,15,17,28,33","1"
"23086","08,09,10,22,26,32","12"
"23085","11,18,23,24,31,33","13"
"23084","09,13,14,17,19,27","3"
"23083","07,10,12,16,17,30","12"
"23082","04,18,19,24,27,30","16"
"23081","01,11,15,16,22,31","15"
"23080","01,02,04,09,25,31","8"
"23079","05,06,09,12,21,22","7"
"23078","06,08,14,19,30,31","8"
"23077","07,09,14,22,26,27","1"
"23076","03,04,15,18,19,22","9"
"23075","13,15,24,28,30,31","1"
"23074","02,08,09,18,19,21","3"
"23073","01,03,15,16,25,32","10"
"23072","02,06,10,24,25,33","9"
"23071","05,12,15,19,24,26","6"
"23070","03,05,25,31,32,33","4"
"23069","12,14,17,20,21,26","2"
"23068","11,12,15,18,29,33","2"
"23067","01,03,12,19,28,32","14"
"23066","02,07,08,10,26,31","6"
"23065","02,14,17,20,26,33","14"
"23064","01,07,11,12,16,18","4"
"23063","04,08,17,20,22,27","13"
"23062","11,19,23,24,26,33","15"
"23061","01,04,06,11,12,22","15"
"23060","09,11,17,19,30,31","11"
"23059","02,06,13,22,27,32","6"
"23058","10,17,22,26,30,33","11"
"23057","02,05,10,17,24,32","3"
"23056","08,14,15,18,23,33","8"
"23055","03,04,20,23,27,32","13"
"23054","05,06,09,10,15,26","12"
"23053","01,07,14,20,27,30","15"
"23052","03,04,05,08,12,17","6"
"23051","22,26,29,30,32,33","14"
"23050","02,07,09,14,22,23","5"
"23049","05,07,14,23,25,27","2"
"23048","02,03,10,24,28,30","8"
"23047","05,07,14,23,31,33","7"
"23046","06,08,17,25,26,28","3"
"23045","03,06,12,21,27,28","4"
